選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
増田 珠,ヤ,0.20776418,1,7,0.25965565,0.29565206,0.55446607
内山 壮真,ヤ,0.18887518,0,2,0.22326855,0.1994547,0.42964032
武岡 龍世,ヤ,0.17967384,3,11,0.22650605,0.27747217,0.51083165
オースティン,Ｄ,0.30973473,24,67,0.37733257,0.59071404,0.9735911
牧 秀悟,Ｄ,0.29214498,21,77,0.33522886,0.4892487,0.82391185
宮﨑 敏郎,Ｄ,0.29190293,13,56,0.37673503,0.4523084,0.8321007
佐野 恵太,Ｄ,0.27740213,8,37,0.31224024,0.40132844,0.7099784
梶原 昂希,Ｄ,0.29396945,4,31,0.32460114,0.38347152,0.70564413
山本 祐大,Ｄ,0.30260038,4,30,0.35055438,0.3916792,0.7377206
桑原 将志,Ｄ,0.26353443,4,23,0.31052482,0.36894014,0.6778198
蝦名 達夫,Ｄ,0.2614324,3,18,0.33478388,0.35569504,0.69511205
度会 隆輝,Ｄ,0.24773076,3,19,0.2994454,0.3426319,0.6450047
森 敬斗,Ｄ,0.25580823,0,8,0.29594392,0.3024817,0.6007026
大和,Ｄ,0.23124483,0,6,0.28052813,0.26859418,0.5485257
京田 陽太,Ｄ,0.23536715,0,12,0.29237345,0.27088556,0.56526285
戸柱 恭孝,Ｄ,0.25216264,0,5,0.2913088,0.29629606,0.5856386
関根 大気,Ｄ,0.22404945,0,5,0.2829671,0.25429723,0.53769296
伊藤 光,Ｄ,0.21217696,0,5,0.25352564,0.26657552,0.5303673
筒香 嘉智,Ｄ,0.19891723,6,19,0.27719274,0.38157797,0.65382
石上 泰輝,Ｄ,0.18980464,0,5,0.24863446,0.24149539,0.49127614
林 琢真,Ｄ,0.16872588,0,5,0.23572846,0.21854588,0.45339188
東 克樹,Ｄ,0.09364807,0,1,0.15692055,0.11082216,0.25171646
ジャクソン,Ｄ,0.09808164,0,1,0.1401468,0.09826735,0.23832324
細川 成也,中,0.288155,22,83,0.37667438,0.4970955,0.8848708
岡林 勇希,中,0.24185772,1,20,0.29768056,0.28620866,0.576929
福永 裕基,中,0.30233186,6,33,0.35421044,0.41636434,0.76887256
宇佐見 真吾,中,0.30235758,3,16,0.35160875,0.42117932,0.7710164
村松 開人,中,0.28188348,1,24,0.31831402,0.338983,0.6589443
石川 昂弥,中,0.27483323,4,24,0.32329682,0.3775736,0.7005739
川越 誠司,中,0.27012864,2,12,0.32070982,0.3868596,0.7024525
カリステ,中,0.26492938,6,34,0.30213875,0.36603922,0.66797864
高橋 周平,中,0.2657401,1,16,0.3205797,0.3348253,0.65811133
山本 泰寛,中,0.24270856,1,16,0.3035574,0.31282267,0.6181852
ブライト 健太,中,0.23989615,2,7,0.3011345,0.3590661,0.65879375
板山 祐太郎,中,0.24080852,3,14,0.28754932,0.35987768,0.6478689
木下 拓哉,中,0.22458956,3,16,0.25915,0.30164358,0.5609497
田中 幹也,中,0.22038887,2,23,0.26179087,0.2814229,0.54541993
三好 大倫,中,0.21170875,0,6,0.27053988,0.28062934,0.5550708
中田 翔,中,0.22062275,3,19,0.25197986,0.30412057,0.5564264
ディカーソン,中,0.20791072,3,8,0.30438334,0.34305614,0.646921
大島 洋平,中,0.19019984,0,8,0.25917557,0.23179892,0.4865537
上林 誠知,中,0.19963007,0,6,0.25876158,0.2543825,0.51168025
加藤 匠馬,中,0.1793704,0,6,0.18787475,0.21555318,0.4072946
ロドリゲス,中,0.12256669,0,2,0.16046451,0.1365988,0.29376984
近本 光司,阪,0.2910002,5,45,0.3640362,0.37091622,0.73711014
森下 翔太,阪,0.26855037,18,66,0.34826732,0.4663266,0.81773406
佐藤 輝明,阪,0.25709182,14,54,0.33205792,0.40412062,0.7380132
大山 悠輔,阪,0.26728195,12,57,0.3327201,0.39060208,0.72291857
中野 拓夢,阪,0.23120265,2,30,0.302481,0.28601056,0.58532363
島田 海吏,阪,0.2653018,0,7,0.34165686,0.30610648,0.65720195
前川 右京,阪,0.26268712,3,29,0.35230693,0.3519946,0.69981533
