選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
上川畑 大悟,日,0.24495669,1,20,0.31237334,0.3071046,0.61923444
伏見 寅威,日,0.23638047,0,10,0.27026847,0.2792162,0.5495403
石井 一成,日,0.23219427,4,15,0.28468087,0.35352528,0.63151956
細川 凌平,日,0.21024108,0,4,0.26912388,0.2584874,0.53212017
水野 達稀,日,0.22153187,7,30,0.25212723,0.34080094,0.600547
野村 佑希,日,0.20860104,2,11,0.25630975,0.30235296,0.55945385
奈良間 大己,日,0.17095014,0,8,0.19500998,0.21038604,0.41328275
加藤 豪将,日,0.17059307,0,4,0.23609181,0.19340189,0.42818168
スティーブンソン,日,0.15748216,0,3,0.18236442,0.19166298,0.37638745
五十幡 亮汰,日,0.15929167,0,6,0.21326223,0.2084138,0.4132434
佐藤 都志也,ロ,0.2726063,5,33,0.32644665,0.37222427,0.6934987
ソト,ロ,0.26836684,20,72,0.3293637,0.4571661,0.78508216
ポランコ,ロ,0.24308126,23,63,0.31769675,0.45607236,0.7756251
髙部 瑛斗,ロ,0.2974202,1,16,0.34863886,0.3778507,0.7306877
藤原 恭大,ロ,0.28794914,3,19,0.36456582,0.38775194,0.7444911
岡 大海,ロ,0.2849994,9,46,0.37321973,0.43493587,0.7972349
角中 勝也,ロ,0.27775022,5,19,0.35732806,0.4051016,0.7711161
荻野 貴司,ロ,0.2758204,1,16,0.31898686,0.33796498,0.66218287
上田 希由翔,ロ,0.254782,0,6,0.3036069,0.30602813,0.61159617
藤岡 裕大,ロ,0.25923023,4,32,0.34815526,0.35516736,0.70651907
小川 龍成,ロ,0.23536272,1,17,0.30904534,0.28179774,0.58802676
中村 奨吾,ロ,0.23665868,5,32,0.3129869,0.3285563,0.6397026
安田 尚憲,ロ,0.23409708,1,10,0.28168705,0.29449847,0.5772584
石川 慎吾,ロ,0.2073164,1,7,0.24027391,0.2797696,0.5237621
友杉 篤輝,ロ,0.20545533,2,22,0.24695677,0.23374696,0.47883675
山口 航輝,ロ,0.20030585,2,14,0.24933869,0.28465652,0.5325841
田村 龍弘,ロ,0.20792179,0,10,0.27475303,0.2529366,0.5238104
愛斗,ロ,0.1895427,0,5,0.24414426,0.2153627,0.4607872
茶谷 健太,ロ,0.15808648,0,4,0.17505647,0.18859711,0.36396176
和田 康士朗,ロ,0.14928871,0,4,0.23020281,0.17033657,0.38635853
辰己 涼介,楽,0.29462945,9,44,0.35203144,0.41850737,0.7648786
鈴木 大地,楽,0.26304004,4,34,0.32293937,0.35421297,0.67297536
小郷 裕哉,楽,0.2586637,7,44,0.33281633,0.3675769,0.6947416
浅村 栄斗,楽,0.24905291,13,54,0.34244472,0.3907981,0.7296595
村林 一輝,楽,0.2349171,7,32,0.273676,0.3365557,0.60131216
小深田 大翔,楽,0.22889207,4,34,0.29470232,0.2960601,0.5875015
茂木 栄五郎,楽,0.26111177,1,10,0.31739298,0.37738746,0.698735
安田 悠馬,楽,0.25641373,3,15,0.30007002,0.35566065,0.6554884
伊藤 裕季也,楽,0.25724143,3,15,0.30243304,0.36656314,0.6729222
渡邊 佳明,楽,0.24326742,0,11,0.2978479,0.28983364,0.5789135
黒川 史陽,楽,0.22658448,1,4,0.28002718,0.31113735,0.59733164
中島 大輔,楽,0.22656257,1,9,0.25993747,0.32283577,0.57980907
阿部 寿樹,楽,0.22437587,9,32,0.29674235,0.39526364,0.69182837
フランコ,楽,0.2164112,6,27,0.2516634,0.34603038,0.60163903
島内 宏明,楽,0.21497223,0,9,0.30320784,0.26676792,0.5666659
岡島 豪郎,楽,0.20613977,1,8,0.29835793,0.29170758,0.58587164
太田 光,楽,0.19811037,3,20,0.24613586,0.28853032,0.53218055
石原 彪,楽,0.16946779,4,14,0.24809203,0.29390192,0.5291969
森 友哉,オ,0.2837904,10,48,0.36339554,0.43324682,0.78815323
西川 龍馬,オ,0.25017497,8,36,0.29785678,0.34586024,0.64205414
紅林 弘太郎,オ,0.25013804,2,31,0.30602407,0.31057888,0.61980295
西野 真弘,オ,0.29694116,1,17,0.35192424,0.359036,0.7164979
太田 椋,オ,0.28445226,5,34,0.33843696,0.40520433,0.74041677
茶野 篤政,オ,0.25952408,0,7,0.30613342,0.33875862,0.6432721
セデーニョ,オ,0.2573263,13,40,0.32250747,0.436243,0.7545849
宗 佑磨,オ,0.23665155,1,20,0.2847905,0.2916297,0.58006436
大里 昂生,オ,0.23494504,2,14,0.3038933,0.3265071,0.62752485
杉本 裕太郎,オ,0.23096655,10,31,0.29486558,0.4033462,0.6985678
福田 周平,オ,0.23330864,1,15,0.30510357,0.29915693,0.6036358
中川 圭太,オ,0.22867675,2,18,0.27451792,0.31610522,0.58925825
来田 涼斗,オ,0.21203615,2,17,0.2651092,0.30304796,0.57601714
若月 健矢,オ,0.20125805,4,20,0.24100897,0.27324447,0.51309353
